1,a-2817,methamphetamine,5 MG,White,Round
2,a-21789,*,325 mg,Yellow,Round
3,a-1315,almotriptan,12.5 mg,White,Round
4,a-17455,*,81 mg,Yellow,Round
5,a-2871,methamphetamine,10 MG,Orange,Round
6,a-15418,*,325 mg,Orange,Round
7,a-23872,*,12.5 mg,White,Round
8,a-21576,*,,White,Four-sided
9,a-9051,desloratadine,5 mg,Red,Round
10,a-21606,*,,Blue,Four-sided
11,a-21215,*,2.5 mg,White,Round
12,a-5368,methamphetamine,15 MG,Yellow,Round
13,a-0-6-14464,*,20 mg,Pink,Capsule-shape
14,a-0-7-9405,*,40 mg,White,Capsule-shape
15,a-0-8-12657,*,15 mg,Yellow,Capsule-shape
16,a-0-9-9016,*,30 mg,Brown,Capsule-shape
17,a-01-14518,*,10 mg,Pink,Round
18,a-02-14519,*,20 mg,Pink,Round
19,a-03-14520,*,40 mg,Pink,Round
20,a-04-14521,*,80 mg,Pink,Elliptical / Oval
21,a-047-12979,phendimetrazine,105 mg,Green & Yellow,Capsule-shape
22,a-05-9403,*,10 mg,Peach,Round
23,a-056-23367,acetaminophen/butalbital,acetaminophen 650mg / butalbital 50mg,Purple,Capsule-shape
24,a-062-19998,*,5 mg,White,Elliptical / Oval
25,a-1-4-14494,*,1000 mg,White,Elliptical / Oval
26,a-1-7-14515,*,50 mg,Blue,Capsule-shape
27,a-10-19498,lorcaserin,10 mg,Blue,Round
28,a-10-9018,*,45 mg,White,Capsule-shape
29,a-10-23474,*,10 mg,Pink,Rectangle
30,a-100mg-ot-2862,cyclosporine,100 mg,White,Capsule-shape
31,a-11-9015,*,7.5 mg,White,Capsule-shape
32,a-111-17207,*,500 mg,Brown,Elliptical / Oval
33,a-12-8778,*,500 mg,White,Round
34,a-13-14493,*,850 mg,White,Round
35,a-134-23565,*,50 mg,White,Capsule-shape
36,a-135-23566,*,100 mg,White,Capsule-shape
37,a-135-13700,fenofibric acid,135 mg,Blue & Yellow,Capsule-shape
38,a-135-22003,*,135 mg,Blue / Yellow,Capsule-shape
39,a-136-23567,*,200 mg,White,Capsule-shape
40,a-137-23568,*,400 mg,White,Capsule-shape
41,a-14-20650,*,2 mg (base) / 0.5 mg (base),Orange,Round
42,a-15-14517,*,5 mg,Yellow,Round
43,a-153-10029,*,30 mg,Yellow,Round
44,a-156-22138,*,20 mg,Green,Capsule-shape
45,a-157-22139,*,30 mg,Blue & White,Capsule-shape
46,a-158-22140,*,60 mg,Blue / Green,Capsule-shape
47,a-16-14514,*,25 mg,Green,Capsule-shape
48,a-18-14516,*,100 mg,Yellow,Capsule-shape
49,a-19-19638,*,750 mg,White,Capsule-shape
50,a-2-23472,*,2 mg,Green,Rectangle
51,a-2-1-14482,*,5 mg,Red,Round
52,a-2-9-16359,*,1.25 mg,White,Round
53,a-20-14481,*,2.5 mg,White,Round
54,a-22-14483,*,10 mg,Yellow,Round
55,a-23-14484,*,20 mg,Yellow,Capsule-shape
56,a-237-15435,*,0.025 mg / 2.5 mg,White,Round
57,a-24-14485,*,30 mg,Yellow,Round
58,a-25-20363,*,25 mg,White,Elliptical / Oval
59,a-25-14486,*,40 mg,Yellow,Capsule-shape
60,a-25mg-or-2861,cyclosporine,25 mg,White,Capsule-shape
61,a-26-14487,*,12.5 mg / 10 mg,Pink,Round
62,a-27-14488,*,25 mg / 20 mg,Pink,Round
63,a-28-14489,*,12.5 mg / 20 mg,Yellow,Round
64,a-3-7499,*,2.5 mg,White,Eight-sided
65,a-3-0-16360,*,2.5 mg,White,Round
66,a-3-1-16361,*,5 mg,White,Round
67,a-36-14498,*,15 mg,White,Round
68,a-37-14499,*,30 mg,White,Round
69,a-38-14500,*,45 mg,White,Round
70,a-45-21368,*,45 mg,Brown / Yellow,Capsule-shape
71,a-45-13701,fenofibric acid,45 mg,Brown & Yellow,Capsule-shape
72,a-46-14470,*,1.25 mg / 250 mg,Yellow,Capsule-shape
73,a-47-14471,*,2.5 mg / 500 mg,Pink,Capsule-shape
74,a-48-14472,*,5 mg / 500 mg,Yellow,Capsule-shape
75,a-49-14105,*,0.25 mg,Yellow,Round
76,a-5-14941,*,5 mg,White,Round
77,a-5-23473,*,5 mg,Blue,Rectangle
78,a-5-0-7051,acetaminophen/butalbital,acetaminophen 325 mg / butalbital 50 mg,Purple,Round
79,a-50-17257,dolasetron,50 mg,Pink,Round
80,a-51-14915,*,5 mg,White,Round
81,a-52-14556,*,10 mg,White,Round
82,a-53-14557,*,20 mg,White,Round
83,a-54-14558,*,40 mg,White,Round
84,a-6-7-14441,*,875 mg,Pink,Capsule-shape
85,a-63-18561,*,250 mg / 125 mg,White,Elliptical / Oval
86,a-64-wyeth-926,lorazepam,1 mg,White,Five-sided
87,a-66-14440,*,500 mg,Pink,Capsule-shape
88,a-70-14106,*,0.5 mg,Green,Capsule-shape
89,a-71-14107,*,1 mg,White,Capsule-shape
90,a-72-14108,*,2 mg,Orange,Capsule-shape
91,a-73-14109,*,3 mg,Yellow,Capsule-shape
92,a-74-14110,*,4 mg,Green,Capsule-shape
93,a-75-16162,*,10 mg,White,Round
94,a-ad-7615,ethotoin,250 mg,White,Round
95,a-ar-2860,fenofibrate,134 mg,White,Capsule-shape
96,a-bpi-63-5240,lorazepam,0.5 mg,White,Five-sided
97,a-bpi-64-5237,lorazepam,1 mg,White,Five-sided
